462495	李玉刚（国家一级演员、歌手）	851180
147288437	吴优（中国内地女演员）	848845
95573	洪金宝（中国香港演员）	848302
75049612	尹正（影视演员）	844877
118465	汪东城（港台明星）	843101
1052646	金泫雅	841283
120868	邱泽	837306
255919	俞飞鸿	836342
6270739	董成鹏	830593
93698	蔡少芬	829478
719443	刘美含	829182
111110	初音未来（VOCALOID音源库）	826974
119230	佟大为（人物）	825241
7769549	水原希子	824199
6428639	崔雪莉	823438
9379493	包贝尔	820625
10852761	李光洙（韩国演员、模特）	819584
80482	马雅舒	818415
51705	巩俐	817316
271820	张庭	816523
69071	魏晨	815953
9243184	张蓝心	814641
689688	李嘉欣（香港著名艺人）	814440
7646394	蓝燕（华语女演员）	814410
64466470	李成敏（韩国女演员）	814334
462467	房祖名	813602
489529	李晟（中国内地女演员）	811475
178734	曹云金	811344
246855	董璇	810586
72993	韩寒（中国作家、导演、职业赛车手）	809284
444537	熊乃瑾	805328
69016	谭维维	803530
610488	徐佳莹	797089
7512863	李治廷	795304
128597720	李一桐	794764
79732	俞灏明	793585
92000	黎姿	792886
55791107	于朦胧（人物）	789807
455700	杜江（中国内地男演员）	786257
119246	秦岚（中国内地女演员）	785533
158937	周海媚	785449
59758869	赫子铭	785115
78783	郭富城	782822
78843	马可（中国内地男主持人）	782000
65837	张韶涵（中国台湾女歌手、演员）	781943
723309	洪欣	780879
5041247	朱珠（MTV主持人、歌手、演员）	780144
71484523	朴宝剑	780026
62924855	杨玏	778866
104067	陈意涵	778562
111054	庾澄庆	778337
562309	郑伊健（人物）	777042
9208	大卫·贝克汉姆	776397
167821	鲍蕾	775653
71906126	韩东君	774446
20073190	冲田杏梨（AV女优）	771757
61758	冯小刚	770781
157338	叶一茜（人物）	768691
232122	黄贯中	766337
51657	任家萱（人物）	765414
6686786	功夫2	764262
58046	杜海涛（湖南卫视主持人）	763753
66113488	桃谷绘里香	762727
58866854	奥黛莉·赫本	761122
497077	于小彤	759889
126899	汪涵	757342
6632669	陈丽佳（医生兼人体模特）	756700
321142	张俪（中国大陆女演员）	755588
7666309	杨子姗	755503
78791	黎明（中国香港演员、歌手）	754806
69240	芙蓉姐姐	753615
7359790	赵雅淇	748588
94806	李若彤	747466
7767133	焦俊艳	744040
198835	邓家佳	743333
65003977	杨子（中国巨力集团执行总裁、演员）	742111
268102	张静初	741328
1854564	朴敏英	740963
1185976	蓝洁瑛	740785
10624330	降央卓玛（藏族歌手）	739561
105716	何润东	738479
642023	poy	737413
54017	张卫健	734023
